district, hot, not
G44002, 1, 4
G48003, 1, 6
G27006, 0, 4
G36024, 0, 3
G01002, 0, 4
G48015, 0, 2
G06046, 0, 2
G48012, 0, 5
G48008, 2, 6
G42009, 1, 1
G40005, 0, 3
G48024, 0, 4
G48030, 1, 4
G36022, 1, 2
G39010, 2, 1
G21003, 3, 3
G17008, 0, 5
G42013, 0, 5
G36008, 0, 3
G08007, 0, 2
G04006, 3, 3
G48010, 0, 5
G55008, 0, 5
G36007, 0, 5
G36017, 2, 3
G48032, 1, 6
G41002, 1, 3
G36026, 0, 8
G45006, 1, 4
G06049, 1, 3
G37008, 0, 4
G06026, 2, 2
G06017, 0, 3
G51005, 0, 6
G48031, 1, 3
G12020, 5, 0
G42005, 1, 4
G39002, 0, 3
G48021, 0, 3
G53009, 0, 3
G06025, 0, 3
G46000, 0, 4
G49003, 0, 6
G35001, 0, 2
G36004, 2, 6
G42002, 1, 4
G35003, 1, 2
G48001, 3, 4
G17018, 0, 2
G04004, 1, 4
G06013, 2, 1
G04003, 1, 5
G24008, 0, 2
G13007, 0, 2
G06021, 1, 4
G48027, 1, 5
G39003, 0, 4
G42001, 1, 3
G01003, 0, 1
G06016, 0, 1
G47002, 0, 6
G13005, 0, 3
G48033, 1, 4
G34010, 0, 4
G48029, 0, 7
G06010, 0, 4
G17015, 0, 6
G19001, 1, 3
G17007, 0, 4
G42014, 1, 4
G34012, 0, 5
G01004, 0, 3
G06020, 0, 4
G26013, 0, 4
G53002, 0, 3
G36021, 0, 1
G13013, 0, 5
G09001, 0, 6
G21002, 1, 4
G19002, 0, 3
G16002, 1, 4
G48002, 0, 4
G01006, 0, 4
G32002, 0, 5
G13010, 1, 6
G06037, 2, 4
G36011, 1, 4
G12021, 4, 1
G08006, 1, 2
G33001, 0, 4
G36020, 0, 3
G13014, 0, 5
G37009, 0, 4
G34004, 0, 4
G05001, 1, 2
G53001, 1, 4
G48028, 0, 6
G47009, 0, 3
G53003, 0, 2
G17003, 0, 2
G12015, 7, 0
G49004, 0, 4
G12026, 3, 0
G27003, 0, 4
G51009, 0, 5
G55006, 0, 2
G01005, 0, 2
G28003, 1, 5
G06035, 1, 4
G55004, 0, 3
G06007, 0, 3
G06014, 1, 6
G51006, 0, 5
G06047, 0, 6
G48018, 0, 3
G12012, 6, 0
G54001, 0, 4
G09004, 0, 6
