
G17007, 'not'
G27008, 'not'
G06042, 'not'
G42010, 'not'
G28002, 'not'
G18008, 'not'
G17009, 'not'
G17007, 'not'
G26005, 'not'
G22006, 'not'
G22002, 'not'
G12017, 'not'
G12001, 'not'
G27001, 'not'
G39006, 'not'
G13001, 'not'
G45004, 'not'
G17004, 'not'
G12002, 'not'
G29008, 'not'
G37001, 'not'
G06013, 'not'
G20003, 'not'
G45007, 'not'
G36022, 'not'
G42015, 'not'
G12001, 'not'
G39007, 'not'
G12004, 'not'
G01003, 'not'
G08004, 'not'
G06001, 'not'
G18009, 'not'
G06007, 'not'
G04006, 'not'
G36016, 'not'
G06009, 'not'
G10000, 'not'
G12005, 'not'
G01002, 'not'
G29001, 'not'
G06014, 'not'
G11098, 'not'
G29003, 'not'
G48001, 'not'
G05003, 'not'
G36024, 'not'
G12007, 'not'
G26013, 'not'
G39015, 'not'
G29004, 'not'
G27006, 'not'
G12009, 'not'
G29002, 'not'
G21006, 'not'
G12003, 'not'
G28004, 'not'
G42008, 'not'
G42013, 'not'
G39012, 'not'
G06035, 'not'
G04007, 'not'
G44001, 'not'
G12024, 'not'
G48021, 'not'
G34010, 'not'
G40005, 'not'
G39003, 'not'
G08001, 'not'
G29007, 'not'
G06041, 'not'
G37003, 'not'
G23002, 'not'
G47008, 'not'
G06050, 'not'
G06020, 'not'
G17008, 'not'
G33002, 'not'
G01004, 'not'
G34012, 'not'
G32002, 'not'
G12011, 'not'
G36005, 'not'
G06002, 'not'
G13013, 'not'
G12025, 'not'
G13001, 'not'
G33001, 'not'
G47002, 'not'
G41004, 'not'
G36015, 'not'
G17010, 'not'
G39004, 'not'
G36014, 'not'
G39010, 'not'
G06017, 'not'
G48036, 'not'
G27005, 'not'
G06004, 'not'
G37003, 'not'
G18007, 'not'
G34008, 'not'
G36011, 'not'
G39003, 'not'
