GISJOIN,total,white,black,amin,asian,nhpi,other,tworaces,nohisp,hisp,over25,highschool,ged,collegelt1,collegegt1,assocdeg,bachdeg,mastersdeg,profdeg,doctoraldeg,povlthalf,povbtnhalfone,povover2,over16,inlabforce,notinlabforce
G06028,715011,480579,20111,3115,96355,980,83850,30021,535371,179640,550317,88285,6936,21082,77167,42277,164952,55531,18910,9911,37991,62869,488260,66387,616827,197612
G06029,721304,405213,26845,4023,54972,972,211105,18174,227301,494003,473404,110195,9417,21831,63703,31666,71238,16651,4084,2171,49752,84263,392867,53324,570341,192428
G06030,764572,498259,37767,3465,99122,1169,91324,33466,547547,217025,546809,85970,7525,24045,87837,41316,155235,54494,19694,8914,36766,43953,563492,79836,632429,203560
G06031,744628,456107,77896,5109,57652,2354,108387,37123,348312,396316,463306,101541,13973,33233,75766,38099,68770,28068,8138,4577,58759,69114,441406,61219,569741,216538
G06032,719643,333267,20303,6644,133599,2361,191494,31975,273012,446631,478928,114288,11010,25177,72890,36335,72104,21949,4943,3009,34169,55256,463621,67871,576560,210999
G06033,713727,519452,22244,2115,103517,1328,25025,40046,620538,93189,516275,44951,4682,18918,61660,30398,190179,85446,39623,18951,35400,23385,578620,108188,597031,206142
G06034,729285,290163,34539,8193,143286,1725,229435,21944,269146,460139,502471,93618,8562,16268,59706,25871,95122,25771,7777,4049,64411,110804,336336,42959,595247,204914
G06035,741990,339699,46782,7776,53443,1898,258785,33607,217950,524040,455906,107396,13736,28037,72359,30170,53228,14928,2837,1395,44744,71350,426845,61852,569905,209331
G06036,743337,510765,33148,8512,26588,1066,137670,25588,380504,362833,515110,129813,16060,37295,87552,37709,65966,27585,8980,4709,60652,78222,417357,48534,594051,276077
G06037,724002,312141,163217,6282,76517,949,136371,28525,443743,280259,504015,80422,6973,18813,75972,28925,116092,50273,17435,10668,62539,73700,433750,57795,601732,205428
G06038,716869,322548,27345,4853,112537,2259,221115,26212,271764,445105,479299,116306,10447,26789,79272,38932,77267,25883,5471,2925,30150,46955,490860,69596,572221,220597
G06039,727834,374814,17257,3791,226697,1804,73624,29847,479581,248253,497714,82898,7879,26828,76155,43088,138245,47933,12154,8116,31053,36421,554705,87752,587570,209690
G06040,711793,393496,33921,4887,17225,1514,247665,13085,87378,624415,427100,96629,7773,15346,52877,19951,31107,9168,1693,798,60712,105648,330231,46484,530949,190666
G06041,754152,371025,70520,5166,44153,1986,232329,28973,299853,454299,451938,113941,13247,28901,74992,33134,49196,20739,4303,4481,47401,73780,447273,63921,575448,211516
G06042,795401,506468,45765,4972,73122,3167,116885,45022,484489,310912,506499,112975,13682,42608,94069,46200,84881,33323,6713,4217,35708,43710,590388,82030,605017,225691
