GISJOIN,total,white,black,amin,asian,nhpi,other,tworaces,nohisp,hisp,over25,highschool,ged,collegelt1,collegegt1,assocdeg,bachdeg,mastersdeg,profdeg,doctoraldeg,povlthalf,povbtnhalfone,povover2,over16,inlabforce,notinlabforce
G21002,753608,671934,40066,2254,10957,1090,7532,19775,727776,25832,501560,141173,37945,36137,71041,46777,59469,31692,6540,3774,45561,69784,468637,50611,598171,232547
G21003,745082,531817,163397,1425,20663,376,7360,20044,705335,39747,513042,113518,26317,34138,81859,41283,95595,48077,12879,6921,48508,61685,487614,53348,597095,203365
G21004,753376,693760,25275,1007,8834,252,8463,15785,728140,25236,510901,129612,30625,36595,74809,41871,87670,40433,9618,4495,43482,50006,525763,61835,593057,215912
G21005,702070,677575,10116,1689,2895,200,1811,7784,693162,8908,485843,143598,40133,28331,60388,34224,33536,21355,5944,2393,85475,105176,319361,32884,565576,310476
G21006,765842,648814,65304,1783,15043,263,13428,21207,729347,36495,505688,111139,31595,30366,72930,38850,92846,44300,11923,9158,56576,74154,475245,52340,614471,221818
G22001,801089,627739,112314,9672,19039,264,13637,18424,729529,71560,547820,134652,27875,29794,88747,31904,108550,36831,14739,6856,47590,64819,541023,59050,635857,234089
G22002,789120,248491,488748,1873,19512,125,16520,13851,740045,49075,533195,144750,22610,25847,93416,28712,78049,30842,9983,5237,87352,102094,411819,39372,629205,250814
G22003,783013,551764,192726,2707,11995,27,7021,16773,752131,30882,517823,161493,29050,28055,74443,30699,76841,24226,5948,3302,58654,80226,468172,48996,609650,234050
G22004,753519,456977,257141,5952,7330,677,8626,16816,723421,30098,498950,153189,28184,31183,76612,37085,63967,24810,6153,3194,72452,90558,404279,41366,590618,259942
G22005,747722,460398,264561,2737,5351,189,4532,9954,729782,17940,494419,155816,35324,26664,70982,25832,58028,21373,4908,3410,76613,96539,371438,38462,590080,284266
G22006,789153,555737,187426,3331,16645,186,10083,15745,753788,35365,515734,139474,23351,27900,82529,32216,97735,35776,9701,7134,50819,50678,544942,62778,622570,217778
G23001,679024,639153,11757,2275,10436,131,1612,13660,666875,12149,494386,115591,20477,28336,65372,47120,117286,49932,12088,7640,27734,38448,499112,63935,565689,191074
G23002,653789,620064,6124,6027,4481,187,1358,15548,644517,9272,473511,145102,26843,31068,64833,49450,72886,28082,6193,5172,36746,58815,403993,48215,543668,219103
G24001,730442,600823,88648,1254,15882,269,6815,16751,701844,28598,508175,141338,18477,37101,65990,38090,94054,48368,9373,6729,31988,33548,554639,73980,593718,211765
G24002,762351,413872,264514,1862,40279,278,13734,27812,709409,52942,514918,125261,23450,34523,72630,36928,98714,50574,9130,7431,40988,42490,541598,69242,604260,197154
G24003,756296,478321,168149,1690,56037,478,24981,26640,686760,69536,525530,94648,13038,26971,61445,32818,133605,79763,23010,16296,31025,29222,592219,88161,611936,182531
G24004,749033,228358,393119,2050,22648,215,81488,21155,626289,122744,510974,115193,14836,31603,77531,33781,99821,56222,9066,7117,28520,34057,578938,82585,590385,162987
G24005,760819,374999,292305,2609,31750,290,28388,30478,693098,67721,509796,121330,15427,34712,78975,36089,101953,60448,9068,8167,25802,24680,614088,98488,610091,191354
G24006,765910,515831,103906,2061,83817,465,30029,29801,659282,106628,520036,107962,15327,30124,58317,38891,112818,71309,15705,19074,32039,37414,574328,79984,607315,200289
G24007,719951,255580,382287,2040,53700,642,6875,18827,692454,27497,496920,110349,18062,25838,67916,28188,101324,61005,15315,12608,56262,56740,476003,62550,584259,220638
G24008,758633,505397,95162,2078,70164,422,57505,27905,645387,113246,528509,78212,8937,23591,51904,28733,135352,94973,33894,28279,21150,27571,624441,103768,607246,180837
G25001,730959,620996,46878,1917,15599,172,26363,19034,600240,130719,504966,129588,19599,32228,61865,49467,88796,47221,8191,6332,44965,57901,484631,56757,599269,223139
G25002,747493,623500,39281,1727,41781,299,18348,22557,675061,72432,502798,119812,16409,26203,56687,44919,111981,58713,11004,12400,38785,42225,532007,68685,617738,213895
G25003,763936,592745,26791,2072,62696,215,57572,21845,616856,147080,518936,119417,17134,28348,57018,40970,109694,65297,10030,10693,37122,45622,566292,77597,612155,196203
G25004,754622,649174,23859,495,46541,204,15214,19135,717396,37226,515815,91354,12013,25292,49640,39765,134344,81812,24761,21640,23173,25499,619189,99343,607624,190863
G25005,766241,589531,41310,1152,89037,177,21219,23815,696556,69685,542815,94719,8683,19046,44854,28982,149495,107674,24034,29808,29850,28871,610084,94843,631771,191644
G25006,767907,653361,28111,1274,32270,202,33487,19202,695466,72441,542774,118845,12467,26223,59115,44851,142800,73960,13690,10641,25217,31854,618047,87696,629714,203766
G25007,795850,399628,204318,2664,81757,309,54864,52310,619679,176171,533846,101187,15815,16232,57718,25267,125962,72416,19094,18778,72958,73684,473791,63501,675119,207045
G25008,764581,580237,77696,1329,62430,419,24367,18103,720896,43685,552132,111629,12463,25129,58970,42056,152349,75602,19560,11232,30615,34190,605045,88174,631399,187679
G25009,738604,650834,22314,1863,10463,332,33306,19492,698916,39688,534713,132848,16864,29776,66440,48826,113456,54933,11539,7770,31168,36606,558178,70248,615202,227115
G26001,699432,645371,10674,17163,4738,331,1962,19193,685882,13550,506211,145580,22415,39308,80435,51165,82026,33787,8022,4957,40542,52985,441864,49063,585385,262575
G26002,735626,620885,47918,4338,17035,193,20828,24429,665172,70454,481767,127858,23802,38092,72226,47629,84526,31431,5243,3914,38902,51919,485150,55642,580415,207137
G26003,737911,619362,62016,2814,15009,171,14431,24108,683212,54699,490308,119072,19854,37025,72704,44685,100815,39081,8461,5254,40433,54410,493571,58815,580498,200900
G26004,701141,658418,12875,5205,7129,168,2494,14852,678700,22441,478005,146634,21177,41189,73982,48122,64525,27750,5670,5392,47081,56509,436679,50279,574937,250590
G26005,679543,525852,117252,2708,6370,152,5445,21764,645991,33552,469109,135668,20926,38756,83165,49969,59011,25063,5345,2296,57057,75040,403242,45375,546963,235101
G26006,716503,605296,59278,3370,11511,191,10637,26220,672722,43781,475339,119069,20695,39444,71478,46370,82049,38699,6919,5648,48070,55786,465268,53400,572632,209193
G26007,705518,643177,29597,2897,7046,129,5490,17182,674270,31248,488939,136027,23264,44715,77493,48933,75368,33157,6309,3667,32582,45109,487917,59123,570771,229343
G26008,736078,626562,41262,2080,34051,271,7684,24168,698500,37578,480967,92303,12997,36073,73554,44942,113525,58945,11567,10781,37466,43269,542839,70437,595725,207653
G26009,718682,563840,98079,2618,31698,335,4195,17917,701645,17037,513960,126651,14873,35953,82435,47335,95278,43107,11663,4487,36617,56943,499693,57774,590971,211205
G26010,717176,663950,20499,1468,12267,139,3770,15083,693710,23466,502980,141761,17595,44642,79905,56161,74923,34248,6192,2538,28623,40351,530667,63571,581025,220157
G26011,727670,591292,37646,1978,73955,176,5218,17405,703942,23728,512056,86322,10334,31856,71300,43016,140754,77262,15561,9119,19528,24255,606609,83052,588515,197558
G26012,711209,558573,76577,2067,39961,216,9249,24566,669492,41717,461865,99813,17064,31013,69463,38563,83485,51405,11663,13564,55957,58086,464820,58454,577837,216244
G26013,679044,259303,371965,2788,9581,275,18806,16326,628043,51001,442647,120854,27422,29920,82349,35401,44210,19091,2846,1925,99295,107819,305728,34693,530575,232155
G26014,691955,236707,389786,1741,34052,232,8932,20505,658310,33645,468062,97596,19183,27280,84310,34462,79182,46616,13102,5628,71919,80455,389456,45921,551700,224822
G260ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
G27001,672649,606708,21568,2206,18626,399,10886,12256,629764,42885,447454,118998,14851,30722,64084,55171,82856,28728,9010,6723,30497,42019,474480,61735,534255,166212
G27002,698522,590404,33527,3125,32791,339,17189,21147,656109,42413,463342,92723,12422,29705,68564,55217,125396,40801,8775,5456,17426,26758,569807,83585,543453,143972
G27003,710378,571431,54549,2091,52227,396,9085,20599,678509,31869,495771,75152,9621,29192,66314,49166,157685,63000,15040,8536,17412,21388,599327,88852,561078,159947
G27004,706259,500600,72082,4449,87398,264,13014,28452,658885,47374,470997,82138,14174,28658,60012,41937,123588,52903,15381,12323,36819,48573,498065,68928,557290,171881
G27005,707352,474361,121231,7787,43584,141,29918,30330,641898,65454,482640,74484,14032,26248,63212,39704,139055,56105,16160,9505,50207,57926,462822,61851,573349,153032
G27006,702583,637461,22710,3030,16618,49,6602,16113,683042,19541,456781,109999,14583,35221,71645,62255,97469,30085,6211,4360,21053,26875,561484,79860,543903,145693
G27007,664941,607908,9516,19143,5994,371,9030,12979,633419,31522,448626,132479,14485,31394,70327,62586,71750,19101,4900,3442,29270,42750,456063,57094,525295,177885
G27008,664674,617171,7003,17151,5121,228,2109,15891,652968,11706,466151,128600,21317,39396,77403,58388,73564,24680,6236,3958,34333,44136,452551,55943,540385,207381
G28001,760715,521357,209434,1175,5198,220,10837,12494,735566,25149,501551,125268,31212,31942,80013,46398,66190,26098,5994,4707,52208,74904,450513,46694,598910,244200
G28002,711716,223845,469706,2400,3382,87,6866,5430,695686,16030,459820,113284,28339,23286,78097,39699,54281,24814,4934,3580,87990,99331,322242,35601,553731,254501
G28003,749199,456651,266191,7265,8162,151,4078,6701,731951,17248,496543,116503,27395,26473,78314,47172,77293,35028,10143,6504,66056,75767,427737,46349,592928,251757
G28004,767132,549340,180503,2849,11571,249,7052,15568,735066,32066,509400,119450,35113,35217,87552,51065,68510,30115,6665,4321,69018,74521,444408,46127,604722,250493
G29001,732537,314813,364694,1631,22238,299,8026,20836,706446,26091,495581,106048,20526,30290,85870,38837,88932,48452,11681,8878,63263,75179,427531,45385,588861,201336
G29002,763266,679899,28175,1200,35376,219,4154,14243,743042,20224,542230,91084,11986,31890,75059,41061,154451,78777,19391,12217,17205,22487,641573,82172,618344,210223
G29003,782693,725338,26322,2492,7953,392,4194,16002,763001,19692,531344,145830,26695,42017,77899,49804,90619,38349,5384,3609,35848,39996,569269,63382,620227,215210
G29004,765070,680970,35707,4356,12408,766,7172,23691,735453,29617,497644,143916,25351,37386,72279,39560,76487,34420,7516,6719,48498,67634,458903,50178,612708,237578
G29005,764511,521075,168389,3141,14165,2615,30404,24722,695830,68681,520395,138652,21926,37259,84606,37876,92436,38736,9608,4578,53068,66081,480757,50328,606670,207669
G29006,768533,695087,32681,3172,9791,817,6194,20791,737998,30535,515624,149819,24532,38726,74869,38527,94144,36996,7503,5362,36454,48658,527734,59931,607054,220010
G29007,773182,710180,14959,7565,9690,1427,8148,21213,734410,38772,514493,140568,25603,41947,84416,39386,81609,30780,6746,5007,50937,71905,453664,46211,617070,241370
G29008,740270,680980,33969,3395,5099,127,2870,13830,724777,15493,507527,160747,33147,38795,69737,38700,50865,22672,4590,3569,57742,82975,400511,41701,593131,268173
G30000,1041732,925642,4630,67289,7947,757,6032,29435,1002713,39019,714267,175345,33551,48081,121715,64097,148624,52011,13166,9069,60777,78286,675183,52559,838808,305954
G31001,641533,568890,19315,7834,17126,522,9746,18100,582956,58577,408845,93128,14977,31075,60561,48472,84730,31293,6405,6319,31414,40409,443073,59534,502343,148529
G31002,659795,537848,63830,3592,22364,350,11944,19867,585568,74227,428669,77129,12731,28214,67145,34598,111284,41619,11346,6486,31561,41164,470911,65816,505097,142490
G31003,603432,559725,7715,5856,4615,520,14368,10633,532955,70477,404949,113104,15480,33770,65151,46973,62277,19811,4198,3448,27709,41533,395659,53115,475721,156532
G32001,689384,359384,80375,7868,57532,5365,147977,30883,372651,316733,464680,132011,19055,30582,77352,28234,49973,14966,4721,2070,66157,77458,350717,40489,549402,198126
G32002,708357,575751,13359,16343,27826,3301,44820,26957,549606,158751,491374,104685,23080,40543,90454,44269,82399,33375,8787,6359,39135,44717,485727,61259,569378,205199
G32003,785285,526337,56746,3759,108126,5772,39365,45180,647730,137555,557058,123033,16979,41822,105758,49206,117284,42303,13369,7348,33609,34073,598275,70660,632056,216993
G32004,739823,473631,110643,7875,41209,4914,64072,37479,521265,218558,488338,123369,21017,36983,91517,41990,67854,26099,5799,2642,44748,53534,479093,58618,571990,222226
G33001,677001,630134,10983,739,17394,195,3132,14424,653696,23305,477693,109301,18638,30320,60304,48380,111635,50339,9125,6396,24233,28747,525455,75028,561305,173663
G33002,666621,619880,9533,1351,18730,164,3497,13466,641570,25051,474422,114039,21027,27780,59287,48007,101642,50887,9907,7494,21779,27593,514152,73039,553512,184915
G34001,726200,492776,124810,1244,37554,281,48253,21282,628150,98050,498733,139031,17429,32454,65088,37791,100433,38996,10765,5832,38019,43425,533364,70270,581830,196471
G34002,719651,544043,89061,2449,27840,220,32360,23678,603388,116263,504184,150623,19772,32124,64453,39506,86848,32619,7958,4143,38366,50553,492243,63862,583994,222404
G34003,735635,589440,80223,575,26867,484,15530,22516,675997,59638,523679,144728,17075,37538,66529,44507,115539,46316,10465,4984,25233,24711,593976,79880,602625,218346
G34004,739922,629171,48007,754,31456,284,16734,13516,662692,77230,500328,120824,11245,29009,62548,37232,124716,56685,13426,6858,26880,40393,572355,83372,580733,213824
G34005,737642,585546,37404,1512,77679,178,20246,15077,635980,101662,512780,113012,9299,25248,55659,33956,151236,66092,17163,8015,16734,21140,625922,102923,596938,198575
G34006,736045,465765,77682,1499,137850,240,34148,18861,574483,161562,496730,121729,13825,24424,54181,31673,117020,60066,10288,8215,32795,37465,547410,82747,594396,210414
G34007,739893,588665,35518,927,74950,75,25147,14611,649750,90143,512024,96939,8624,23069,49529,32482,152697,83972,20841,14713,15686,19054,643423,113685,593737,190156
G34008,760952,433067,76952,2691,67563,612,152596,27471,346080,414872,528634,136468,12379,18610,55235,24424,109123,47089,11169,5987,52771,75812,465397,59973,611022,184370
G34009,751755,445379,76430,2056,98488,338,106047,23017,469693,282062,516100,148680,11548,20717,59422,27495,113638,42504,11379,5674,48825,64568,510238,67471,601741,217029
G34010,749828,214735,390485,2239,53985,214,69882,18288,595990,153838,500598,143285,13846,21861,74498,30864,94407,38171,8473,4898,61448,72302,455246,52967,594187,204987
G34011,735773,603954,28338,665,74302,192,12645,15677,653485,82288,520277,102900,7698,22762,47648,30548,164590,84578,21313,11056,14713,16032,641044,111802,599682,194839
G34012,748549,439206,131854,2038,123869,239,34388,16955,618137,130412,515475,111805,10804,21854,55276,30591,127663,74186,15102,16155,30778,36429,571615,86660,601290,206648
G35001,695519,519356,18789,31144,16645,458,80248,28879,348861,346658,478954,93624,20396,28782,83139,38517,85941,48665,11832,11613,53029,70187,424471,50680,561310,217268
G35002,700177,587315,13389,37655,5757,286,39410,16365,315937,384240,448564,104216,25259,28875,74548,36878,56724,27510,4059,4246,63380,90078,362356,42957,545525,244190
G35003,696738,452215,10828,131097,9111,770,70453,22264,411885,284853,466762,105786,19206,28337,83694,39269,70464,39827,7698,9617,64823,68892,404622,50407,548934,233745
G36001,717383,619839,38490,1794,29035,114,13892,14219,612257,105126,499933,126118,14715,29821,61366,49561,96229,61371,12320,8730,26053,24492,581082,93892,586610,215886
G36002,715030,543171,73620,2163,22134,265,53687,19990,547156,167874,490006,135825,14403,29220,57343,45970,88875,50688,8367,3511,21424,25660,586047,98595,576292,187726
G36003,727480,543065,22102,1260,116306,237,30119,14391,648207,79273,516588,93409,8176,20156,49750,36167,143725,83470,33675,11335,18846,21256,613339,113428,591444,224485
G36004,722626,472245,108093,2513,47761,204,65305,26505,572595,150031,496920,107677,10947,21532,56135,39428,115048,69311,19329,6463,20966,24727,593088,105685,584086,199822
G36005,772342,137876,381477,3697,109225,560,109256,30251,623073,149269,526748,120715,32347,21366,78018,43004,88408,37359,6371,2823,37739,52407,536335,69886,620656,220149
G36006,732433,323611,29061,2793,291750,199,62182,22837,587475,144958,542619,125311,13793,20702,52832,45700,118250,56620,13694,7656,38968,56238,495650,64428,607120,230060
G36007,734208,359508,81519,3645,132437,438,127764,28897,438557,295651,497771,99206,16815,15066,41194,21884,103800,46406,13172,4625,76022,100527,393135,55497,581193,207151
G36008,771343,234620,409136,2260,42252,217,60199,22659,632282,139061,532269,126239,28123,19585,61524,39511,106231,52045,10230,4586,75616,87723,460624,52077,623210,241535
G36009,733271,262809,355666,1452,52871,143,39977,20353,649493,83778,509986,111703,21315,16609,60630,33739,111622,61376,14480,6395,56093,71359,462593,56823,587730,211329
G36010,730760,504909,28060,2611,137456,113,37395,20216,637259,93501,525440,66830,8736,12364,34530,20900,160917,99959,39213,19142,48653,68181,491612,90440,599859,196482
G36011,730634,512646,56505,2013,102601,442,36371,20056,604437,126197,510844,125470,20241,23407,54378,37763,107731,54147,12094,5097,46581,55868,519559,72388,588426,239300
G36012,719072,524170,37242,1745,100416,283,32637,22579,620862,98210,572735,47660,7126,11669,34808,21336,224293,119166,52158,20514,38641,34873,560640,104574,640911,179066
G36013,774528,203699,228559,5183,37157,609,248334,50987,350792,423736,538964,98782,23365,17337,63283,31050,98439,48654,11424,8323,85542,120735,381185,42151,632011,232420
G36014,705681,316916,77616,3868,118014,423,165631,23213,355891,349790,503639,132352,17594,16367,49928,37768,85706,36162,6754,3962,41643,64073,425387,56913,576163,205247
G36015,744647,112084,254037,5025,13066,852,334070,25513,251740,492907,449791,99952,23812,17242,60764,30485,44198,12519,1979,1424,119343,152513,266404,28460,559804,238845
G36016,741586,346997,245666,3380,39627,201,79502,26213,555443,186143,509978,100057,17197,20622,57070,36053,105211,67402,21219,9132,44242,49270,525865,70004,597070,217673
G36017,738481,514203,78598,2636,43361,124,78730,20829,574857,163624,490085,88026,11561,19615,53174,33913,116953,77262,21621,10436,33962,41030,555186,98316,578646,197361
G36018,721629,553903,70510,2437,21490,375,49027,23887,601021,120608,480476,107912,20002,26860,62224,46289,96702,58371,11084,6753,29878,36702,544097,84705,575002,206469
G36019,700993,622712,31565,1577,11778,177,14691,18493,648343,52650,501789,133516,25632,29363,58674,58412,79993,49170,9218,6822,39119,45364,479674,62281,587467,236212
G36020,725925,578417,67950,1276,36555,245,14933,26549,679747,46178,494842,105266,19883,28562,53532,59977,101628,63349,12712,11132,38329,41261,521714,66444,599342,210551
G36021,706791,649719,22438,6160,7161,512,7285,13516,682580,24211,489107,141804,31294,31803,59681,56567,63736,42032,6461,4388,39841,49704,451685,55200,579218,236828
G36022,699564,627106,29048,1728,19215,330,6356,15781,673314,26250,475442,131723,28397,31567,56137,60605,67231,38788,6509,5087,47565,53464,443546,53732,573528,234496
G36023,699965,635549,20556,4105,16820,161,7103,15671,672517,27448,472144,133039,28699,31800,50113,57306,64392,42736,6329,9609,48923,55913,420891,51223,575045,241469
G36024,707425,597766,59999,2917,18811,209,6611,21112,676444,30981,483716,114099,23559,31229,56821,60306,84200,48430,9866,6320,47597,50534,469107,57560,574968,218525
G36025,717362,541124,112807,3366,26395,120,11869,21681,654642,62720,491801,97947,19756,29528,54140,57125,102342,61186,11629,9671,50608,53233,480688,56974,583294,207992
G36026,711502,507694,129654,2911,29337,298,19311,22297,665361,46141,491432,115309,22780,28208,64920,55276,86452,50891,9957,7535,62024,66427,439957,49151,582807,224453
G36027,715792,668591,18125,5129,7310,166,5983,10488,696520,19272,511277,134904,25132,32596,60674,68170,86265,52809,8890,5656,26482,33751,533793,65142,590095,220327
G37001,753591,356801,333747,6634,15512,446,21539,18912,687189,66402,506351,118235,23898,29381,69107,42168,82138,38056,9915,9656,71994,80003,407579,43636,610044,247433
G37002,822252,590588,157925,4476,15165,578,27578,25942,742092,80160,545469,110021,20027,33239,78398,55713,127552,49017,8477,7636,36789,49870,592055,68205,632262,217792
G37003,754824,547311,153551,3275,11442,637,12368,26240,696082,58742,496645,115371,24725,38246,88883,53867,76296,30307,6076,4639,45798,65528,450547,49868,606750,229135
G37004,840168,515070,189597,3473,72325,393,34258,25052,753211,86957,555635,69121,12160,24389,67490,41320,172996,85632,18210,21626,45175,52255,588924,69888,674048,199913
G37005,752439,595471,110492,2843,11304,767,17422,14140,680861,71578,514731,122928,24850,31314,76272,47995,86090,33968,8591,6491,58843,71273,443440,46116,611574,253517
G37006,762671,545708,154587,2825,13282,388,29056,16825,687094,75577,525199,124202,28784,34030,81496,51059,83749,30966,7010,6243,47696,68484,470740,49242,610513,237674
G37007,787034,585710,150804,6479,6704,361,18839,18137,712936,74098,547475,129668,25870,39781,82068,56699,92965,33318,7336,5042,63784,79225,464533,47599,639878,269263
G37008,779035,517813,179941,9165,18402,1206,25089,27419,699719,79316,512270,114644,22516,37372,91914,54293,88712,34742,6427,4657,48397,65123,485678,52011,610752,223240
G37009,779186,510016,148449,61473,21713,281,18117,19137,716559,62627,517552,111043,17490,28136,77435,44118,114884,43901,11052,4881,51297,61568,516612,58791,607300,238471
G37010,753325,610290,90964,2596,12845,237,20960,15433,705210,48115,529678,128421,29266,37427,78199,54570,84177,32082,7134,4491,46183,64336,459254,47761,612484,244485
G37011,752316,678821,24266,11739,8646,708,14584,13552,705660,46656,547099,125737,31584,37381,83001,55631,86797,37107,8232,6052,43960,67490,458665,46044,624407,276836
G37012,847254,404047,315059,3054,48379,566,50924,25225,722060,125194,559285,92954,13519,29188,89081,45506,150091,58061,10771,5637,53076,67769,553267,58604,663443,183108
G37013,771529,536594,170240,3320,26545,371,17172,17287,711001,60528,524385,120615,22604,34741,81822,49719,99399,36423,7626,5872,50558,67475,476328,50489,621444,232527
G38000,752201,655268,20445,39462,10814,378,7528,18306,725672,26529,490233,113235,18029,30831,79736,67212,105552,26902,6962,4980,39838,39432,541011,63473,595742,177138
G39001,737765,522962,160513,722,26092,185,7726,19565,714759,23006,487364,121587,17637,27928,63694,42176,105212,47236,9457,6857,52219,55589,499874,58727,578824,200095
G39002,728702,632066,63345,1258,10775,480,3563,17215,713291,15411,505076,136453,21231,31985,62415,42042,96589,45061,10740,6851,44218,53223,500132,57316,580906,212644
G39003,785158,433894,262599,1662,33517,471,16956,36059,732321,52837,501872,128851,20419,32242,79415,37388,93944,35734,7448,4980,78666,89151,432298,47009,611157,193122
G39004,711251,640999,37134,1790,6606,181,5616,18925,685334,25917,486401,176182,24420,36922,66157,48155,55197,25016,4241,2399,41036,48628,468284,53746,570652,218538
G39005,722734,662586,20536,1366,9836,386,10783,17241,685908,36826,488109,157310,16273,33765,65689,49858,78891,37420,7857,5382,34131,41561,514319,58998,580239,200095
G39006,700099,665597,15832,1224,3139,75,2239,11993,691850,8249,497634,195798,21101,32557,59893,48662,50560,23441,3903,2493,45429,63795,431804,47533,571248,253818
G39007,726547,671081,29520,1065,4815,38,3208,16820,710032,16515,494179,176089,20075,36292,62684,40107,64986,27989,3998,3232,38023,51045,494859,55108,577242,213555
G39008,728116,643350,43772,1584,14326,436,5450,19198,702838,25278,481122,153199,21185,34147,64501,41586,74361,33687,4895,4424,41019,47724,497943,58060,576719,208693
G39009,709760,526002,115071,2790,11009,197,20527,34164,628716,81044,483082,133390,24722,36381,75058,43053,68319,27804,7389,3557,62244,78936,402515,43718,569994,210779
G39010,721945,553170,121667,1470,16423,231,5657,23327,701619,20326,491453,118188,18755,38835,77140,47137,83924,46594,8279,6930,51254,61874,459463,52467,582299,221927
G39011,693817,272696,370336,1905,17743,134,8988,22015,664006,29811,469433,117714,19059,31246,76222,35663,69928,36104,13212,7332,87438,89592,355978,36851,559043,223793
G39012,770907,672086,35627,1245,33326,139,4338,24146,751705,19202,523387,121295,14951,32896,63756,39593,136009,57903,12788,8892,30643,39591,584844,73376,609693,204010
G39013,710422,588311,81664,1700,13251,104,4035,21357,687183,23239,492078,169888,20249,32637,68852,39072,72910,28908,5824,4460,55125,66142,422183,45087,584576,227080
G39014,717865,651374,32753,1061,15120,141,3587,13829,697219,20646,507981,137783,13164,34778,63769,41388,109035,49625,11571,7043,27703,31814,550417,67937,582953,210159
G39015,754510,681505,31768,1242,17917,174,3593,18311,738215,16295,517415,148708,18480,34334,63398,41445,101233,44362,10519,7771,41496,45105,521967,63542,609539,228768
G39016,722281,672153,16134,1479,15846,219,3526,12924,705556,16725,510499,140927,14395,36662,67997,44305,109712,46228,10965,5959,20071,31501,564387,66805,587706,204407
G40001,797151,569214,69168,45677,23044,653,26594,62801,707811,89340,525789,120539,21401,39319,85923,45369,107702,35231,9839,5183,50002,63552,520396,54859,617288,211064
G40002,748286,497317,25537,128467,4745,1128,11814,79278,709303,38983,505393,157719,31393,36532,76812,41319,58016,21364,3640,2760,56359,84740,403459,42319,593026,278277
G40003,776845,616288,29590,45915,11172,928,26463,46489,699716,77129,504863,146688,27289,36956,80712,38255,77423,26826,4490,5135,52217,63158,475557,51611,608591,242647
G40004,783867,595574,52666,40082,18660,935,14544,61406,715896,67971,509301,136986,26244,41174,87383,37520,82835,33544,6210,5703,47446,53078,506500,56380,619540,230237
G40005,811988,559379,110998,34535,25771,827,27342,53136,677890,134098,528655,115280,22868,37752,84270,36440,102853,40942,12106,6268,57994,79264,490532,51669,624951,222865
G41001,832139,666048,14489,5737,65055,3155,36250,41405,710197,121942,575609,88903,20985,41013,89969,49036,146862,63398,13859,13496,35909,47700,616079,73956,665263,221223
G41002,805737,726829,5197,15653,8659,1858,19193,28348,695418,110319,567499,126310,28858,50833,106440,51468,88626,36378,9399,5744,48725,73779,494178,51574,650252,276782
G41003,830995,653189,42383,7698,58988,5140,20194,43403,737868,93127,597480,91340,22064,41424,98096,48128,149795,64302,18109,9863,55491,65166,559258,64361,683245,214803
G41004,794776,703179,6401,9271,19723,1410,16585,38207,732448,62328,552536,115424,27574,51594,107387,52578,88876,39272,9197,9719,65295,72763,477075,49031,663067,290219
G41005,818296,696688,9319,8602,22085,4443,34862,42297,682056,136240,557569,108645,26262,47665,98056,48642,108985,44140,11448,6349,44520,55899,555753,62502,651547,249312
G42001,709207,614591,29268,1164,41173,157,8676,14178,672332,36875,503704,132521,11317,25896,56738,39990,122942,60974,12339,9207,19894,22287,588279,85251,580163,186629
G42002,734861,365920,202216,3324,56635,419,81987,24360,549415,185446,482319,158083,22644,26224,52199,30247,65752,23641,5112,3203,75837,104461,381581,42666,569679,223266
G42003,722979,233164,414713,2269,42467,334,9469,20563,689511,33468,499452,122092,17018,21299,63522,25537,100950,55837,20797,12755,88395,82977,388903,45084,601946,238299
G42004,724647,580889,68295,915,46804,247,9380,18117,689325,35322,509697,114729,11612,25177,51156,36055,137030,73210,18401,12702,20479,23823,591709,87310,585209,185956
G42005,714120,467361,172478,1259,47681,214,7921,17206,683271,30849,485622,136305,13257,25219,53373,34443,100473,52629,15255,10639,41542,43926,503555,66393,574079,205639
G42006,725593,594181,46536,3075,29869,135,21016,30781,616382,109211,486491,109347,12321,22181,48883,32764,129376,61861,12570,10648,32679,39378,547963,81257,573937,185564
G42007,722048,589403,49021,2175,22512,261,33725,24951,590469,131579,496283,148784,18630,28586,57860,45780,89292,40490,7928,6405,32998,45182,509419,64239,585928,209789
G42008,695547,608573,41690,1308,12291,303,16570,14812,620171,75376,494692,165792,20897,32270,59054,44797,77462,34221,6306,4621,43179,51843,459097,53515,575370,232606
G42009,705114,649918,18741,1150,7802,214,16759,10530,660909,44205,499172,192015,24928,29493,49132,44074,65803,28729,5722,3595,34461,38065,480072,57267,580326,227950
G42010,727144,583059,81879,1286,25885,173,12978,21884,668864,58280,504285,154426,20432,28589,52477,44399,98998,41669,10870,5534,36094,40506,514737,62720,586816,204286
G42011,728820,655829,27689,1172,13542,253,16286,14049,667327,61493,496359,160760,23986,27399,48843,38249,82427,34491,6893,4385,28095,37608,532898,65019,577782,194422
G42012,701191,657555,16081,1167,12173,170,4209,9836,684639,16552,473455,178314,24412,24933,45301,40871,64559,29508,5423,8071,43550,49893,440630,53067,579641,242824
G42013,698730,655201,19499,638,4487,108,5535,13262,676692,22038,497736,199139,25414,29519,47637,42496,60815,27797,5310,3996,34499,48971,465497,53076,574497,233452
G42014,691459,649074,20935,561,5695,441,1611,13142,682349,9110,502200,181485,19852,28705,50651,50949,85979,35580,6222,4654,32398,44415,487124,57045,575316,234569
